ensembl_transcript_id	ensembl_gene_id	cds_length	gene_biotype	external_gene_name	ensembl_peptide_id_version
ENSMUST00000003906	ENSMUSG00000003808	1527	protein_coding	Farsa	ENSMUSP00000003906.6
ENSMUST00000003907	ENSMUSG00000003809	1344	protein_coding	Gcdh	ENSMUSP00000003907.8
ENSMUST00000106486	ENSMUSG00000003810	5403	protein_coding	Mast2	ENSMUSP00000102095.1
ENSMUST00000003910	ENSMUSG00000003812	1062	protein_coding	Dnase2a	ENSMUSP00000003910.6
ENSMUST00000109761	ENSMUSG00000003813	1092	protein_coding	Rad23a	ENSMUSP00000105383.2
ENSMUST00000003912	ENSMUSG00000003814	1251	protein_coding	Calr	ENSMUSP00000003912.6
ENSMUST00000170296	ENSMUSG00000003824	534	protein_coding	Syce2	ENSMUSP00000131438.1
ENSMUST00000151114	ENSMUSG00000003847	4659	protein_coding	Nfat5	ENSMUSP00000119370.1
ENSMUST00000003946	ENSMUSG00000003848	1212	protein_coding	Nob1	ENSMUSP00000003946.8
ENSMUST00000003947	ENSMUSG00000003849	825	protein_coding	Nqo1	ENSMUSP00000003947.8
ENSMUST00000211067	ENSMUSG00000003863	3585	protein_coding	Ppfia3	ENSMUSP00000148200.1
ENSMUST00000003964	ENSMUSG00000003865	2217	protein_coding	Gys1	ENSMUSP00000003964.8
ENSMUST00000211214	ENSMUSG00000003868	1392	protein_coding	Ruvbl2	ENSMUSP00000147502.1
ENSMUST00000003971	ENSMUSG00000003872	624	protein_coding	Lin7b	ENSMUSP00000003971.7
ENSMUST00000033093	ENSMUSG00000003873	579	protein_coding	Bax	ENSMUSP00000033093.8
ENSMUST00000003981	ENSMUSG00000003882	1380	protein_coding	Il7r	ENSMUSP00000003981.4
ENSMUST00000092430	ENSMUSG00000003923	732	protein_coding	Tfam	ENSMUSP00000090086.4
ENSMUST00000054072	ENSMUSG00000003929	1596	protein_coding	Zfp81	ENSMUSP00000050728.8
ENSMUST00000004036	ENSMUSG00000003934	1023	protein_coding	Efnb3	ENSMUSP00000004036.5
ENSMUST00000004050	ENSMUSG00000003948	717	protein_coding	Mmd	ENSMUSP00000004050.6
ENSMUST00000004051	ENSMUSG00000003949	888	protein_coding	Hlf	ENSMUSP00000004051.7
ENSMUST00000004057	ENSMUSG00000003955	468	protein_coding	Fam162a	ENSMUSP00000004057.7
ENSMUST00000004072	ENSMUSG00000003970	774	protein_coding	Rpl8	ENSMUSP00000004072.8
ENSMUST00000004076	ENSMUSG00000003974	2640	protein_coding	Grm3	ENSMUSP00000004076.3
ENSMUST00000004094	ENSMUSG00000003992	1086	protein_coding	Ssbp2	ENSMUSP00000004094.8
ENSMUST00000004120	ENSMUSG00000004018	1128	protein_coding	Fancl	ENSMUSP00000004120.2
ENSMUST00000004133	ENSMUSG00000004031	2352	protein_coding	Brinp2	ENSMUSP00000004133.8
ENSMUST00000004134	ENSMUSG00000004032	675	protein_coding	Gstm5	ENSMUSP00000004134.4
ENSMUST00000004137	ENSMUSG00000004035	657	protein_coding	Gstm7	ENSMUSP00000004137.3
ENSMUST00000004136	ENSMUSG00000004038	657	protein_coding	Gstm3	ENSMUSP00000004136.8
ENSMUST00000127638	ENSMUSG00000004040	2313	protein_coding	Stat3	ENSMUSP00000120152.1
ENSMUST00000107357	ENSMUSG00000004043	2394	protein_coding	Stat5a	ENSMUSP00000102980.2
ENSMUST00000060792	ENSMUSG00000004044	1179	protein_coding	Cavin1	ENSMUSP00000058321.5
ENSMUST00000004156	ENSMUSG00000004054	2553	protein_coding	Map3k11	ENSMUSP00000004156.8
ENSMUST00000108344	ENSMUSG00000004056	1446	protein_coding	Akt2	ENSMUSP00000103981.2
ENSMUST00000060067	ENSMUSG00000004069	1443	protein_coding	Dnaja3	ENSMUSP00000053842.5
ENSMUST00000004172	ENSMUSG00000004070	948	protein_coding	Hmox2	ENSMUSP00000004172.8
ENSMUST00000004173	ENSMUSG00000004071	627	protein_coding	Cdip1	ENSMUSP00000004173.5
ENSMUST00000090824	ENSMUSG00000004085	2409	protein_coding	Map3k20	ENSMUSP00000088334.5
ENSMUST00000004200	ENSMUSG00000004096	690	protein_coding	Cwc15	ENSMUSP00000004200.8
ENSMUST00000004201	ENSMUSG00000004098	5220	protein_coding	Col5a3	ENSMUSP00000004201.7
ENSMUST00000004202	ENSMUSG00000004099	4863	protein_coding	Dnmt1	ENSMUSP00000004202.9
ENSMUST00000004203	ENSMUSG00000004100	1413	protein_coding	Ppan	ENSMUSP00000004203.5
ENSMUST00000004208	ENSMUSG00000004105	1482	protein_coding	Angptl2	ENSMUSP00000004208.5
ENSMUST00000187541	ENSMUSG00000004110	6822	protein_coding	Cacna1e	ENSMUSP00000140937.1
ENSMUST00000114447	ENSMUSG00000004113	6987	protein_coding	Cacna1b	ENSMUSP00000110090.1
ENSMUST00000040321	ENSMUSG00000004127	993	protein_coding	Trmt10a	ENSMUSP00000042082.6
ENSMUST00000095767	ENSMUSG00000004151	1434	protein_coding	Etv1	ENSMUSP00000093442.3
ENSMUST00000004294	ENSMUSG00000004187	2379	protein_coding	Kifc2	ENSMUSP00000004294.10
ENSMUST00000179238	ENSMUSG00000004207	1674	protein_coding	Psap	ENSMUSP00000137476.1
ENSMUST00000004330	ENSMUSG00000004221	1293	protein_coding	Ikbkg	ENSMUSP00000004330.3
ENSMUST00000004340	ENSMUSG00000004231	1251	protein_coding	Pax2	ENSMUSP00000004340.4
ENSMUST00000004343	ENSMUSG00000004233	1083	protein_coding	Wars2	ENSMUSP00000004343.2
ENSMUST00000088357	ENSMUSG00000004263	3528	protein_coding	Atn1	ENSMUSP00000085695.5
ENSMUST00000004375	ENSMUSG00000004264	900	protein_coding	Phb2	ENSMUSP00000004375.9
ENSMUST00000004377	ENSMUSG00000004266	1794	protein_coding	Ptpn6	ENSMUSP00000004377.8
ENSMUST00000004378	ENSMUSG00000004267	1305	protein_coding	Eno2	ENSMUSP00000004378.8
ENSMUST00000004379	ENSMUSG00000004268	735	protein_coding	Emg1	ENSMUSP00000004379.5
ENSMUST00000004381	ENSMUSG00000004270	1464	protein_coding	Lpcat3	ENSMUSP00000004381.7
ENSMUST00000004396	ENSMUSG00000004285	360	protein_coding	Atp6v1f	ENSMUSP00000004396.6
ENSMUST00000102796	ENSMUSG00000004296	1008	protein_coding	Il12b	ENSMUSP00000099860.3
ENSMUST00000115746	ENSMUSG00000004317	2451	protein_coding	Clcn5	ENSMUSP00000111412.1
ENSMUST00000004430	ENSMUSG00000004319	2601	protein_coding	Clcn3	ENSMUSP00000004430.7
ENSMUST00000108492	ENSMUSG00000004328	1995	protein_coding	Hif3a	ENSMUSP00000104132.2
ENSMUST00000004453	ENSMUSG00000004341	666	protein_coding	Gpx6	ENSMUSP00000004453.7
ENSMUST00000110491	ENSMUSG00000004344	666	protein_coding	Gpx5	ENSMUSP00000106117.2
ENSMUST00000203372	ENSMUSG00000004347	2301	protein_coding	Pde1c	ENSMUSP00000145508.1
ENSMUST00000004470	ENSMUSG00000004356	8370	protein_coding	Utp20	ENSMUSP00000004470.7
ENSMUST00000004473	ENSMUSG00000004359	729	protein_coding	Spic	ENSMUSP00000004473.8
ENSMUST00000092627	ENSMUSG00000004360	1947	protein_coding	9330159F19Rik	ENSMUSP00000090291.4
ENSMUST00000163119	ENSMUSG00000004364	2307	protein_coding	Cul3	ENSMUSP00000130738.1
ENSMUST00000004480	ENSMUSG00000004366	351	protein_coding	Sst	ENSMUSP00000004480.3
ENSMUST00000094892	ENSMUSG00000004371	600	protein_coding	Il11	ENSMUSP00000092492.5
ENSMUST00000119826	ENSMUSG00000004383	2271	protein_coding	Large1	ENSMUSP00000112617.1
ENSMUST00000004507	ENSMUSG00000004393	1641	protein_coding	Ddx56	ENSMUSP00000004507.4
ENSMUST00000004508	ENSMUSG00000004394	684	protein_coding	Tmed4	ENSMUSP00000004508.6
ENSMUST00000057497	ENSMUSG00000004415	1323	protein_coding	Col26a1	ENSMUSP00000052095.6
ENSMUST00000160684	ENSMUSG00000004446	588	protein_coding	Bid	ENSMUSP00000125731.1
ENSMUST00000004565	ENSMUSG00000004451	621	protein_coding	Ralb	ENSMUSP00000004565.8
ENSMUST00000086294	ENSMUSG00000004455	1014	protein_coding	Ppp1cc	ENSMUSP00000083474.6
ENSMUST00000004574	ENSMUSG00000004460	1077	protein_coding	Dnajb11	ENSMUSP00000004574.7
ENSMUST00000004576	ENSMUSG00000004462	1659	protein_coding	Tbccd1	ENSMUSP00000004576.6
ENSMUST00000004587	ENSMUSG00000004473	987	protein_coding	Clec11a	ENSMUSP00000004587.9
ENSMUST00000038701	ENSMUSG00000004500	1752	protein_coding	Zfp324	ENSMUSP00000041944.7
ENSMUST00000004622	ENSMUSG00000004508	2001	protein_coding	Gab2	ENSMUSP00000004622.5
ENSMUST00000004646	ENSMUSG00000004530	1425	protein_coding	Coro1c	ENSMUSP00000004646.6
ENSMUST00000080723	ENSMUSG00000004535	2445	protein_coding	Tax1bp1	ENSMUSP00000079548.4
ENSMUST00000004655	ENSMUSG00000004540	1428	protein_coding	Psg17	ENSMUSP00000004655.7
ENSMUST00000004657	ENSMUSG00000004542	1428	protein_coding	Psg19	ENSMUSP00000004657.6
ENSMUST00000073350	ENSMUSG00000004552	1194	protein_coding	Ctse	ENSMUSP00000073072.6
ENSMUST00000004673	ENSMUSG00000004558	1116	protein_coding	Ndrg2	ENSMUSP00000004673.7
ENSMUST00000164902	ENSMUSG00000004561	1461	protein_coding	Mettl17	ENSMUSP00000130200.1
ENSMUST00000182760	ENSMUSG00000004562	4581	protein_coding	Arhgef40	ENSMUSP00000138125.1
ENSMUST00000208002	ENSMUSG00000004565	4038	protein_coding	Pnpla6	ENSMUSP00000146680.1
ENSMUST00000004683	ENSMUSG00000004567	1743	protein_coding	Mcoln1	ENSMUSP00000004683.6
ENSMUST00000004684	ENSMUSG00000004568	3066	protein_coding	Arhgef18	ENSMUSP00000004684.6
ENSMUST00000043812	ENSMUSG00000004591	2952	protein_coding	Pkn2	ENSMUSP00000039566.8
ENSMUST00000004728	ENSMUSG00000004609	1212	protein_coding	Cd33	ENSMUSP00000004728.5
ENSMUST00000004729	ENSMUSG00000004610	768	protein_coding	Etfb	ENSMUSP00000004729.3
ENSMUST00000070518	ENSMUSG00000004612	498	protein_coding	Nkg7	ENSMUSP00000068946.2
ENSMUST00000004745	ENSMUSG00000004626	1783	protein_coding	Stxbp2	ENSMUSP00000004745.8
ENSMUST00000136105	ENSMUSG00000004630	411	protein_coding	Pcp2	ENSMUSP00000121079.1
ENSMUST00000115577	ENSMUSG00000004631	1422	protein_coding	Sgce	ENSMUSP00000111240.2
ENSMUST00000046856	ENSMUSG00000004633	1407	protein_coding	Chn2	ENSMUSP00000035908.7
ENSMUST00000004756	ENSMUSG00000004637	1245	protein_coding	Wwox	ENSMUSP00000004756.7
ENSMUST00000057551	ENSMUSG00000004642	828	protein_coding	Slbp	ENSMUSP00000062930.7
ENSMUST00000004770	ENSMUSG00000004651	1602	protein_coding	Tyr	ENSMUSP00000004770.5
ENSMUST00000063578	ENSMUSG00000004654	1272	protein_coding	Ghrhr	ENSMUSP00000068120.3
ENSMUST00000004774	ENSMUSG00000004655	810	protein_coding	Aqp1	ENSMUSP00000004774.3
ENSMUST00000171444	ENSMUSG00000004661	1707	protein_coding	Arid3b	ENSMUSP00000130173.1
ENSMUST00000004784	ENSMUSG00000004665	918	protein_coding	Cnn2	ENSMUSP00000004784.4
ENSMUST00000004786	ENSMUSG00000004667	633	protein_coding	Polr2e	ENSMUSP00000004786.9
ENSMUST00000042740	ENSMUSG00000004668	15105	protein_coding	Abca13	ENSMUSP00000040465.6
ENSMUST00000170242	ENSMUSG00000004677	6387	protein_coding	Myo9b	ENSMUSP00000129220.1
ENSMUST00000209750	ENSMUSG00000004698	3204	protein_coding	Hdac9	ENSMUSP00000148029.1
ENSMUST00000068878	ENSMUSG00000004707	1965	protein_coding	Ly9	ENSMUSP00000069319.7
ENSMUST00000004829	ENSMUSG00000004709	1194	protein_coding	Cd244a	ENSMUSP00000004829.7
ENSMUST00000086763	ENSMUSG00000004730	2796	protein_coding	Adgre1	ENSMUSP00000083971.5
ENSMUST00000004868	ENSMUSG00000004748	501	protein_coding	Mtfp1	ENSMUSP00000004868.5
ENSMUST00000088287	ENSMUSG00000004768	714	protein_coding	Rab23	ENSMUSP00000085625.3
ENSMUST00000172298	ENSMUSG00000004771	651	protein_coding	Rab11a	ENSMUSP00000129163.1
ENSMUST00000004910	ENSMUSG00000004788	1056	protein_coding	Eif2b2	ENSMUSP00000004910.5
ENSMUST00000053811	ENSMUSG00000004789	1365	protein_coding	Dlst	ENSMUSP00000060346.8
ENSMUST00000223220	ENSMUSG00000004791	489	protein_coding	Pgf	ENSMUSP00000152165.1
ENSMUST00000004920	ENSMUSG00000004798	3114	protein_coding	Ulk2	ENSMUSP00000004920.3
ENSMUST00000004936	ENSMUSG00000004814	360	protein_coding	Ccl24	ENSMUSP00000004936.6
ENSMUST00000053913	ENSMUSG00000004815	2805	protein_coding	Dgkq	ENSMUSP00000057859.6
ENSMUST00000004943	ENSMUSG00000004821	648	protein_coding	Tmed11	ENSMUSP00000004943.1
ENSMUST00000004959	ENSMUSG00000004837	654	protein_coding	Grap	ENSMUSP00000004959.2
ENSMUST00000176038	ENSMUSG00000004842	954	protein_coding	Pou1f1	ENSMUSP00000135574.1
ENSMUST00000004965	ENSMUSG00000004843	642	protein_coding	Chmp2b	ENSMUSP00000004965.6
ENSMUST00000004968	ENSMUSG00000004846	2226	protein_coding	Plod3	ENSMUSP00000004968.4
ENSMUST00000150603	ENSMUSG00000004849	567	protein_coding	Ap1s1	ENSMUSP00000115941.1
ENSMUST00000233984	ENSMUSG00000004864	1101	protein_coding	Mapk13	ENSMUSP00000156387.1
ENSMUST00000130643	ENSMUSG00000004865	1947	protein_coding	Srpk1	ENSMUSP00000116259.1
ENSMUST00000004994	ENSMUSG00000004872	1455	protein_coding	Pax3	ENSMUSP00000004994.9
ENSMUST00000005003	ENSMUSG00000004880	1881	protein_coding	Lbr	ENSMUSP00000005003.6
ENSMUST00000005019	ENSMUSG00000004885	417	protein_coding	Crabp2	ENSMUSP00000005019.5
ENSMUST00000090973	ENSMUSG00000004891	5595	protein_coding	Nes	ENSMUSP00000088493.5
ENSMUST00000090971	ENSMUSG00000004892	2652	protein_coding	Bcan	ENSMUSP00000088491.5
ENSMUST00000005014	ENSMUSG00000004894	1026	protein_coding	Hapln2	ENSMUSP00000005014.2
ENSMUST00000005015	ENSMUSG00000004895	1476	protein_coding	Prcc	ENSMUSP00000005015.8
ENSMUST00000005016	ENSMUSG00000004896	1428	protein_coding	Rrnad1	ENSMUSP00000005016.9
ENSMUST00000005017	ENSMUSG00000004897	714	protein_coding	Hdgf	ENSMUSP00000005017.8
ENSMUST00000112682	ENSMUSG00000004902	963	protein_coding	Slc25a18	ENSMUSP00000108302.2
ENSMUST00000005057	ENSMUSG00000004929	2064	protein_coding	Thop1	ENSMUSP00000005057.6
ENSMUST00000220297	ENSMUSG00000004931	1716	protein_coding	Apba3	ENSMUSP00000151985.1
ENSMUST00000117488	ENSMUSG00000004933	1518	protein_coding	Matk	ENSMUSP00000113221.1
ENSMUST00000005064	ENSMUSG00000004934	1524	protein_coding	Pias4	ENSMUSP00000005064.7
ENSMUST00000005066	ENSMUSG00000004936	1182	protein_coding	Map2k1	ENSMUSP00000005066.8
ENSMUST00000005067	ENSMUSG00000004937	948	protein_coding	Sgta	ENSMUSP00000005067.5
ENSMUST00000005069	ENSMUSG00000004939	588	protein_coding	Nmrk2	ENSMUSP00000005069.6
ENSMUST00000005053	ENSMUSG00000004945	423	protein_coding	Tmem242	ENSMUSP00000005053.7
ENSMUST00000111142	ENSMUSG00000004947	1860	protein_coding	Dtx2	ENSMUSP00000106772.2
ENSMUST00000005073	ENSMUSG00000004948	1275	protein_coding	Zp3	ENSMUSP00000005073.6
ENSMUST00000005077	ENSMUSG00000004951	630	protein_coding	Hspb1	ENSMUSP00000005077.6
ENSMUST00000042135	ENSMUSG00000004952	2409	protein_coding	Rasa4	ENSMUSP00000037869.7
ENSMUST00000065957	ENSMUSG00000004961	1161	protein_coding	Syt5	ENSMUSP00000070322.5
ENSMUST00000203954	ENSMUSG00000004980	1062	protein_coding	Hnrnpa2b1	ENSMUSP00000145028.1
ENSMUST00000204950	ENSMUSG00000004988	300	protein_coding	Fxyd4	ENSMUSP00000145182.1
ENSMUST00000098578	ENSMUSG00000004994	1158	protein_coding	Ccdc130	ENSMUSP00000096177.3
ENSMUST00000126435	ENSMUSG00000004996	1110	protein_coding	Mri1	ENSMUSP00000122623.1
ENSMUST00000005164	ENSMUSG00000005034	1197	protein_coding	Prkacb	ENSMUSP00000005164.7
ENSMUST00000005173	ENSMUSG00000005043	1509	protein_coding	Sgsh	ENSMUSP00000005173.4
ENSMUST00000030775	ENSMUSG00000005045	5859	protein_coding	Chd5	ENSMUSP00000030775.5
ENSMUST00000005185	ENSMUSG00000005054	297	protein_coding	Cstb	ENSMUSP00000005185.6
ENSMUST00000196397	ENSMUSG00000005057	1866	protein_coding	Sh2b2	ENSMUSP00000142398.1
ENSMUST00000035861	ENSMUSG00000005069	1920	protein_coding	Pex5	ENSMUSP00000049132.5
ENSMUST00000057257	ENSMUSG00000005078	936	protein_coding	Jkamp	ENSMUSP00000061370.8
ENSMUST00000005218	ENSMUSG00000005087	2343	protein_coding	Cd44	ENSMUSP00000005218.8
ENSMUST00000080210	ENSMUSG00000005089	1719	protein_coding	Slc1a2	ENSMUSP00000079100.3
ENSMUST00000005233	ENSMUSG00000005102	4947	protein_coding	Eif2ak4	ENSMUSP00000005233.5
ENSMUST00000005234	ENSMUSG00000005103	1821	protein_coding	Wdr1	ENSMUSP00000005234.9
ENSMUST00000067886	ENSMUSG00000005107	1617	protein_coding	Slc2a9	ENSMUSP00000063352.5
ENSMUST00000005255	ENSMUSG00000005124	1104	protein_coding	Wisp1	ENSMUSP00000005255.2
ENSMUST00000005256	ENSMUSG00000005125	1185	protein_coding	Ndrg1	ENSMUSP00000005256.6
ENSMUST00000005262	ENSMUSG00000005131	948	protein_coding	4930550C14Rik	ENSMUSP00000005262.1
ENSMUST00000034121	ENSMUSG00000005142	3042	protein_coding	Man2b1	ENSMUSP00000034121.9
ENSMUST00000005279	ENSMUSG00000005148	1341	protein_coding	Klf5	ENSMUSP00000005279.6
ENSMUST00000093357	ENSMUSG00000005150	948	protein_coding	Wdr83	ENSMUSP00000091048.5
ENSMUST00000109734	ENSMUSG00000005161	597	protein_coding	Prdx2	ENSMUSP00000105356.1
ENSMUST00000058470	ENSMUSG00000005198	5913	protein_coding	Polr2a	ENSMUSP00000050771.9
ENSMUST00000005334	ENSMUSG00000005202	1212	protein_coding	Shbg	ENSMUSP00000005334.2
ENSMUST00000005336	ENSMUSG00000005204	1707	protein_coding	Senp3	ENSMUSP00000005336.2
ENSMUST00000005352	ENSMUSG00000005220	3342	protein_coding	Corin	ENSMUSP00000005352.3
ENSMUST00000119706	ENSMUSG00000005225	1560	protein_coding	Plekha8	ENSMUSP00000112466.1
ENSMUST00000005364	ENSMUSG00000005232	1068	protein_coding	G6pc2	ENSMUSP00000005364.5
ENSMUST00000112320	ENSMUSG00000005233	681	protein_coding	Spc25	ENSMUSP00000107939.1
ENSMUST00000108659	ENSMUSG00000005237	13389	protein_coding	Dnah2	ENSMUSP00000104299.1
ENSMUST00000019386	ENSMUSG00000005251	2361	protein_coding	Ripk4	ENSMUSP00000019386.8
ENSMUST00000115578	ENSMUSG00000005262	924	protein_coding	Ufd1	ENSMUSP00000111241.3
ENSMUST00000149228	ENSMUSG00000005267	2280	protein_coding	Zfp287	ENSMUSP00000114531.1
ENSMUST00000124470	ENSMUSG00000005268	1827	protein_coding	Prlr	ENSMUSP00000122219.1
ENSMUST00000005431	ENSMUSG00000005299	2217	protein_coding	Letm1	ENSMUSP00000005431.5
ENSMUST00000058735	ENSMUSG00000005312	1749	protein_coding	Ubqln1	ENSMUSP00000050191.5
ENSMUST00000005452	ENSMUSG00000005320	2400	protein_coding	Fgfr4	ENSMUSP00000005452.5
ENSMUST00000005470	ENSMUSG00000005338	1293	protein_coding	Cadm3	ENSMUSP00000005470.4
ENSMUST00000049706	ENSMUSG00000005339	753	protein_coding	Fcer1a	ENSMUSP00000056882.5
ENSMUST00000005487	ENSMUSG00000005354	501	protein_coding	Txn2	ENSMUSP00000005487.5
ENSMUST00000005488	ENSMUSG00000005355	774	protein_coding	Casp14	ENSMUSP00000005488.7
ENSMUST00000005490	ENSMUSG00000005357	1686	protein_coding	Slc1a6	ENSMUSP00000005490.8
ENSMUST00000005493	ENSMUSG00000005360	1632	protein_coding	Slc1a3	ENSMUSP00000005493.7
ENSMUST00000113239	ENSMUSG00000005362	1338	protein_coding	Crbn	ENSMUSP00000108865.3
ENSMUST00000204659	ENSMUSG00000005364	1248	protein_coding	Il5ra	ENSMUSP00000144718.1
ENSMUST00000005503	ENSMUSG00000005370	4077	protein_coding	Msh6	ENSMUSP00000005503.3
ENSMUST00000005504	ENSMUSG00000005371	2793	protein_coding	Fbxo11	ENSMUSP00000005504.8
ENSMUST00000005507	ENSMUSG00000005373	2595	protein_coding	Mlxipl	ENSMUSP00000005507.3
ENSMUST00000153183	ENSMUSG00000005374	1329	protein_coding	Tbl2	ENSMUSP00000115011.1
ENSMUST00000085984	ENSMUSG00000005378	846	protein_coding	Bud23	ENSMUSP00000083146.4
ENSMUST00000005532	ENSMUSG00000005397	3738	protein_coding	Nid1	ENSMUSP00000005532.7
ENSMUST00000164309	ENSMUSG00000005410	2205	protein_coding	Mcm5	ENSMUSP00000126135.1
ENSMUST00000005548	ENSMUSG00000005413	870	protein_coding	Hmox1	ENSMUSP00000005548.6
ENSMUST00000066330	ENSMUSG00000005417	6810	protein_coding	Mprip	ENSMUSP00000071081.8
ENSMUST00000169266	ENSMUSG00000005442	7533	protein_coding	Cic	ENSMUSP00000132351.1
ENSMUST00000005583	ENSMUSG00000005447	699	protein_coding	Pafah1b3	ENSMUSP00000005583.5
ENSMUST00000005601	ENSMUSG00000005465	1872	protein_coding	Il27ra	ENSMUSP00000005601.7
ENSMUST00000005606	ENSMUSG00000005469	1056	protein_coding	Prkaca	ENSMUSP00000005606.6
ENSMUST00000005607	ENSMUSG00000005470	609	protein_coding	Asf1b	ENSMUSP00000005607.8
ENSMUST00000005611	ENSMUSG00000005474	444	protein_coding	Myl10	ENSMUSP00000005611.5
ENSMUST00000019576	ENSMUSG00000005481	1284	protein_coding	Ddx39	ENSMUSP00000019576.8
ENSMUST00000005620	ENSMUSG00000005483	1023	protein_coding	Dnajb1	ENSMUSP00000005620.8
ENSMUST00000005630	ENSMUSG00000005493	2877	protein_coding	Msh4	ENSMUSP00000005630.4
ENSMUST00000187758	ENSMUSG00000005501	3708	protein_coding	Usp40	ENSMUSP00000140107.1
ENSMUST00000031787	ENSMUSG00000005503	1251	protein_coding	Evx1	ENSMUSP00000031787.7
ENSMUST00000111464	ENSMUSG00000005505	1605	protein_coding	Kbtbd4	ENSMUSP00000107089.1
ENSMUST00000111452	ENSMUSG00000005506	1542	protein_coding	Celf1	ENSMUSP00000107079.1
ENSMUST00000005647	ENSMUSG00000005510	792	protein_coding	Ndufs3	ENSMUSP00000005647.3
ENSMUST00000005651	ENSMUSG00000005514	2037	protein_coding	Por	ENSMUSP00000005651.6
ENSMUST00000005671	ENSMUSG00000005533	4110	protein_coding	Igf1r	ENSMUSP00000005671.8
ENSMUST00000091291	ENSMUSG00000005534	4119	protein_coding	Insr	ENSMUSP00000088837.4
ENSMUST00000005678	ENSMUSG00000005540	996	protein_coding	Fcer2a	ENSMUSP00000005678.4
ENSMUST00000005685	ENSMUSG00000005547	1485	protein_coding	Cyp2a5	ENSMUSP00000005685.8
ENSMUST00000005692	ENSMUSG00000005553	3105	protein_coding	Atp4a	ENSMUSP00000005692.6
ENSMUST00000005705	ENSMUSG00000005566	2505	protein_coding	Trim28	ENSMUSP00000005705.7
ENSMUST00000005714	ENSMUSG00000005575	552	protein_coding	Ube2m	ENSMUSP00000005714.7
ENSMUST00000117801	ENSMUSG00000005580	4062	protein_coding	Adcy9	ENSMUSP00000113498.1
ENSMUST00000163888	ENSMUSG00000005583	1455	protein_coding	Mef2c	ENSMUSP00000132547.2
ENSMUST00000005749	ENSMUSG00000005609	3522	protein_coding	Ctr9	ENSMUSP00000005749.5
ENSMUST00000162415	ENSMUSG00000005610	2721	protein_coding	Eif4g2	ENSMUSP00000124551.1
ENSMUST00000125758	ENSMUSG00000005611	2766	protein_coding	Mrvi1	ENSMUSP00000114578.1
ENSMUST00000079791	ENSMUSG00000005615	1104	protein_coding	Pcyt1a	ENSMUSP00000078721.4
ENSMUST00000107353	ENSMUSG00000005621	3789	protein_coding	Zfp592	ENSMUSP00000102976.2
ENSMUST00000071664	ENSMUSG00000005625	1140	protein_coding	Psmd4	ENSMUSP00000071589.5
ENSMUST00000005769	ENSMUSG00000005628	1038	protein_coding	Tmod4	ENSMUSP00000005769.6
ENSMUST00000029711	ENSMUSG00000005640	3903	protein_coding	Insrr	ENSMUSP00000029711.2
ENSMUST00000117400	ENSMUSG00000005649	537	protein_coding	Cabp5	ENSMUSP00000112415.1
ENSMUST00000005798	ENSMUSG00000005656	1221	protein_coding	Snx6	ENSMUSP00000005798.8
ENSMUST00000005810	ENSMUSG00000005667	1053	protein_coding	Mthfd2	ENSMUSP00000005810.6
ENSMUST00000005815	ENSMUSG00000005672	2940	protein_coding	Kit	ENSMUSP00000005815.6
ENSMUST00000005817	ENSMUSG00000005674	927	protein_coding	Tomm40l	ENSMUSP00000005817.2
ENSMUST00000005820	ENSMUSG00000005677	1077	protein_coding	Nr1i3	ENSMUSP00000005820.4
ENSMUST00000111321	ENSMUSG00000005681	309	protein_coding	Apoa2	ENSMUSP00000106953.1
ENSMUST00000005825	ENSMUSG00000005682	3603	protein_coding	Pan2	ENSMUSP00000005825.6
ENSMUST00000005826	ENSMUSG00000005683	1395	protein_coding	Cs	ENSMUSP00000005826.7
ENSMUST00000213373	ENSMUSG00000005686	2328	protein_coding	Ampd3	ENSMUSP00000149655.1
ENSMUST00000005830	ENSMUSG00000005687	678	protein_coding	Bcas2	ENSMUSP00000005830.8
ENSMUST00000189753	ENSMUSG00000005696	381	protein_coding	Sh2d1a	ENSMUSP00000141070.1
ENSMUST00000005841	ENSMUSG00000005698	2211	protein_coding	Ctcf	ENSMUSP00000005841.9
ENSMUST00000093195	ENSMUSG00000005699	1041	protein_coding	Pard6a	ENSMUSP00000090886.6
ENSMUST00000005849	ENSMUSG00000005705	396	protein_coding	Agrp	ENSMUSP00000005849.5
ENSMUST00000005860	ENSMUSG00000005716	333	protein_coding	Pvalb	ENSMUSP00000005860.9
ENSMUST00000005862	ENSMUSG00000005718	1017	protein_coding	Tfap4	ENSMUSP00000005862.7
ENSMUST00000115645	ENSMUSG00000005732	612	protein_coding	Ranbp1	ENSMUSP00000111309.3
ENSMUST00000027849	ENSMUSG00000005763	621	protein_coding	Cd247	ENSMUSP00000027849.4
ENSMUST00000107260	ENSMUSG00000005774	1977	protein_coding	Rfx5	ENSMUSP00000102881.2
ENSMUST00000005923	ENSMUSG00000005779	795	protein_coding	Psmb4	ENSMUSP00000005923.6
ENSMUST00000018765	ENSMUSG00000005800	1398	protein_coding	Mmp8	ENSMUSP00000018765.2
ENSMUST00000005952	ENSMUSG00000005802	1293	protein_coding	Slc30a4	ENSMUSP00000005952.4
ENSMUST00000005953	ENSMUSG00000005803	1353	protein_coding	Sqor	ENSMUSP00000005953.4
ENSMUST00000005954	ENSMUSG00000005804	519	protein_coding	Bloc1s6	ENSMUSP00000005954.8
