transcript_length	ensembl_peptide_id_version	external_gene_name	gene_biotype
ENSMUSG00000025580	1509	ENSMUSP00000026667.8	Eif4a3	protein_coding
ENSMUSG00000025582	5217	ENSMUSP00000026670.4	Nptx1	protein_coding
ENSMUSG00000025583	6594	ENSMUSP00000026671.6	Rptor	protein_coding
ENSMUSG00000025584	3802	ENSMUSP00000026672.7	Pde8a	protein_coding
ENSMUSG00000025586	3111	ENSMUSP00000095936.3	Cpeb1	protein_coding
ENSMUSG00000025588	1347	ENSMUSP00000026677.3	Nat1	protein_coding
ENSMUSG00000025591	4328	ENSMUSP00000026681.5	Tma16	protein_coding
ENSMUSG00000025592	5155	ENSMUSP00000109009.1	Dach2	protein_coding
ENSMUSG00000025597	3584	ENSMUSP00000038080.5	Klhl4	protein_coding
ENSMUSG00000025602	3873	ENSMUSP00000130163.1	Zfp202	protein_coding
ENSMUSG00000025607	3961	ENSMUSP00000038368.6	Copg2	protein_coding
ENSMUSG00000025608	5379	ENSMUSP00000026698.7	Podxl	protein_coding
ENSMUSG00000025609	11395	ENSMUSP00000026699.8	Mkln1	protein_coding
ENSMUSG00000025610	1652	ENSMUSP00000026700.7	Map3k7cl	protein_coding
ENSMUSG00000025612	5867	ENSMUSP00000026703.5	Bach1	protein_coding
ENSMUSG00000025613	2394	ENSMUSP00000026704.7	Cct8	protein_coding
ENSMUSG00000025616	3205	ENSMUSP00000026710.5	Usp16	protein_coding
ENSMUSG00000025626	4350	ENSMUSP00000077971.6	Phf6	protein_coding
ENSMUSG00000025630	1289	ENSMUSP00000026723.8	Hprt	protein_coding
ENSMUSG00000025645	1526	ENSMUSP00000026735.7	Ccdc51	protein_coding
ENSMUSG00000025646	4248	ENSMUSP00000125264.1	Atrip	protein_coding
ENSMUSG00000025647	1910	ENSMUSP00000107690.5	Shisa5	protein_coding
ENSMUSG00000025648	3488	ENSMUSP00000142378.1	Pfkfb4	protein_coding
ENSMUSG00000025650	9250	ENSMUSP00000107701.1	Col7a1	protein_coding
ENSMUSG00000025651	1653	ENSMUSP00000026743.8	Uqcrc1	protein_coding
ENSMUSG00000025652	945	ENSMUSP00000142016.1	Tmem89	protein_coding
ENSMUSG00000025656	6222	ENSMUSP00000138461.1	Arhgef9	protein_coding
ENSMUSG00000025658	5738	ENSMUSP00000026750.8	Cnksr2	protein_coding
ENSMUSG00000025665	4170	ENSMUSP00000080694.6	Rps6ka6	protein_coding
ENSMUSG00000025666	4007	ENSMUSP00000026760.2	Tmem47	protein_coding
ENSMUSG00000025701	2821	ENSMUSP00000026795.6	Alox5	protein_coding
ENSMUSG00000025702	4611	ENSMUSP00000098594.3	March8	protein_coding
ENSMUSG00000025716	5082	ENSMUSP00000046329.7	Myo3a	protein_coding
ENSMUSG00000025722	2114	ENSMUSP00000026816.8	Wdr73	protein_coding
ENSMUSG00000025723	705	ENSMUSP00000026817.4	Nmb	protein_coding
ENSMUSG00000025724	1345	ENSMUSP00000026818.5	Sec11a	protein_coding
ENSMUSG00000025726	2899	ENSMUSP00000112421.1	Slc28a1	protein_coding
ENSMUSG00000025727	2539	ENSMUSP00000125106.1	A930017K11Rik	protein_coding
ENSMUSG00000025728	3233	ENSMUSP00000094981.3	Pigq	protein_coding
ENSMUSG00000025730	2900	ENSMUSP00000132355.1	Rab40c	protein_coding
ENSMUSG00000025731	1026	ENSMUSP00000126198.1	Mettl26	protein_coding
ENSMUSG00000025732	816	ENSMUSP00000026828.5	Mcrip2	protein_coding
ENSMUSG00000025733	3189	ENSMUSP00000044639.9	Rhot2	protein_coding
ENSMUSG00000025735	1711	ENSMUSP00000026831.6	Rhbdl1	protein_coding
ENSMUSG00000025736	2265	ENSMUSP00000122744.1	Jmjd8	protein_coding
ENSMUSG00000025737	3099	ENSMUSP00000026833.5	Wdr24	protein_coding
ENSMUSG00000025738	3478	ENSMUSP00000048562.7	Fbxl16	protein_coding
ENSMUSG00000025739	719	ENSMUSP00000131648.1	Gng13	protein_coding
ENSMUSG00000025742	3699	ENSMUSP00000026839.4	Prps2	protein_coding
ENSMUSG00000025743	4973	ENSMUSP00000065877.3	Sdc3	protein_coding
ENSMUSG00000025745	4017	ENSMUSP00000120976.1	Hadha	protein_coding
ENSMUSG00000025746	2343	ENSMUSP00000143293.1	Il6	protein_coding
ENSMUSG00000025747	3884	ENSMUSP00000123377.1	Tyms	protein_coding
ENSMUSG00000025754	3452	ENSMUSP00000026854.3	Agbl1	protein_coding
ENSMUSG00000025757	9479	ENSMUSP00000145468.1	Hspa4l	protein_coding
ENSMUSG00000025758	3479	ENSMUSP00000026858.5	Plk4	protein_coding
ENSMUSG00000025759	3151	ENSMUSP00000026859.5	Mfsd8	protein_coding
ENSMUSG00000025762	2497	ENSMUSP00000037127.7	Larp1b	protein_coding
ENSMUSG00000025764	5584	ENSMUSP00000128152.1	Jade1	protein_coding
ENSMUSG00000025766	4129	ENSMUSP00000118749.1	D3Ertd751e	protein_coding
ENSMUSG00000025774	1252	ENSMUSP00000026876.6	Crisp4	protein_coding
ENSMUSG00000025776	4472	ENSMUSP00000092686.4	Crispld1	protein_coding
ENSMUSG00000025777	3949	ENSMUSP00000026879.7	Gdap1	protein_coding
ENSMUSG00000025779	632	ENSMUSP00000026881.4	Ly96	protein_coding
ENSMUSG00000025780	7900	ENSMUSP00000026886.7	Itih5	protein_coding
ENSMUSG00000025781	1735	ENSMUSP00000110546.1	Atp5c1	protein_coding
ENSMUSG00000025782	4897	ENSMUSP00000110559.1	Taf3	protein_coding
ENSMUSG00000025783	1187	ENSMUSP00000026889.1	4930412O13Rik	protein_coding
ENSMUSG00000025784	992	ENSMUSP00000026890.4	Clec3b	protein_coding
ENSMUSG00000025785	1053	ENSMUSP00000026891.4	Exosc7	protein_coding
ENSMUSG00000025786	6987	ENSMUSP00000117392.1	Zdhhc3	protein_coding
ENSMUSG00000025787	2785	ENSMUSP00000026893.4	Tgm4	protein_coding
ENSMUSG00000025789	5368	ENSMUSP00000026896.4	St8sia2	protein_coding
ENSMUSG00000025790	4589	ENSMUSP00000026897.7	Slco3a1	protein_coding
ENSMUSG00000025791	2523	ENSMUSP00000099844.4	Pgm1	protein_coding
ENSMUSG00000025792	2023	ENSMUSP00000026899.3	Slc25a10	protein_coding
ENSMUSG00000025793	2901	ENSMUSP00000101809.1	Hgs	protein_coding
ENSMUSG00000025794	1009	ENSMUSP00000131489.1	Rpl14	protein_coding
ENSMUSG00000025795	3522	ENSMUSP00000026902.7	Rassf3	protein_coding
ENSMUSG00000025804	2833	ENSMUSP00000026911.4	Ccr1	protein_coding
ENSMUSG00000025808	5544	ENSMUSP00000149790.1	Ccdc7a	protein_coding
ENSMUSG00000025809	3815	ENSMUSP00000087457.5	Itgb1	protein_coding
ENSMUSG00000025810	3597	ENSMUSP00000026917.8	Nrp1	protein_coding
ENSMUSG00000025812	5815	ENSMUSP00000125453.1	Pard3	protein_coding
ENSMUSG00000025813	10982	ENSMUSP00000095931.2	Homer2	protein_coding
ENSMUSG00000025815	5480	ENSMUSP00000092769.2	Dhtkd1	protein_coding
ENSMUSG00000025816	2448	ENSMUSP00000100046.3	Sec61a2	protein_coding
ENSMUSG00000025817	4764	ENSMUSP00000026927.3	Nudt5	protein_coding
ENSMUSG00000025821	5573	ENSMUSP00000053643.6	Zfp282	protein_coding
ENSMUSG00000025823	2399	ENSMUSP00000076521.7	Pdia4	protein_coding
ENSMUSG00000025825	1395	ENSMUSP00000107930.1	Iscu	protein_coding
ENSMUSG00000025838	1781	ENSMUSP00000107198.1	Pramel6	protein_coding
ENSMUSG00000025839	1861	ENSMUSP00000026957.3	Pramel7	protein_coding
ENSMUSG00000025854	3582	ENSMUSP00000026972.7	Fam20c	protein_coding
ENSMUSG00000025855	2637	ENSMUSP00000026973.7	Prkar1b	protein_coding
ENSMUSG00000025856	2060	ENSMUSP00000075463.7	Pdgfa	protein_coding
ENSMUSG00000025857	3450	ENSMUSP00000026975.6	Dnaaf5	protein_coding
ENSMUSG00000025858	2107	ENSMUSP00000026976.5	Get4	protein_coding
ENSMUSG00000025860	6834	ENSMUSP00000026978.6	Xiap	protein_coding
ENSMUSG00000025862	6171	ENSMUSP00000110725.2	Stag2	protein_coding
ENSMUSG00000025867	4928	ENSMUSP00000026985.8	Cplx2	protein_coding
ENSMUSG00000025868	648	ENSMUSP00000026986.6	Higd2a	protein_coding
ENSMUSG00000025869	1756	ENSMUSP00000026987.5	Nop16	protein_coding
ENSMUSG00000025870	1046	ENSMUSP00000026988.4	Arl10	protein_coding
ENSMUSG00000025871	2727	ENSMUSP00000026989.8	4833439L19Rik	protein_coding
ENSMUSG00000025872	2335	ENSMUSP00000026990.5	Thoc3	protein_coding
ENSMUSG00000025873	4322	ENSMUSP00000121182.1	Faf2	protein_coding
ENSMUSG00000025875	1585	ENSMUSP00000026993.7	Tspan17	protein_coding
ENSMUSG00000025876	3995	ENSMUSP00000026994.7	Unc5a	protein_coding
ENSMUSG00000025877	3219	ENSMUSP00000051215.6	Hk3	protein_coding
ENSMUSG00000025878	2936	ENSMUSP00000122196.1	Uimc1	protein_coding
ENSMUSG00000025880	4278	ENSMUSP00000026999.3	Smad7	protein_coding
ENSMUSG00000025885	6745	ENSMUSP00000073790.6	Myo5b	protein_coding
ENSMUSG00000025887	2649	ENSMUSP00000027009.4	Casp12	protein_coding
ENSMUSG00000025888	1497	ENSMUSP00000027015.5	Casp1	protein_coding
ENSMUSG00000025889	1280	ENSMUSP00000109907.3	Snca	protein_coding
ENSMUSG00000025892	5441	ENSMUSP00000027020.6	Gria4	protein_coding
ENSMUSG00000025893	2313	ENSMUSP00000148445.1	Kbtbd3	protein_coding
ENSMUSG00000025894	2843	ENSMUSP00000053971.7	Aasdhppt	protein_coding
ENSMUSG00000025898	4446	ENSMUSP00000027027.5	Cwf19l2	protein_coding
ENSMUSG00000025899	7674	ENSMUSP00000148653.1	Alkbh8	protein_coding
ENSMUSG00000025900	6869	ENSMUSP00000027032.4	Rp1	protein_coding
ENSMUSG00000025902	3242	ENSMUSP00000142116.1	Sox17	protein_coding
ENSMUSG00000025903	2507	ENSMUSP00000027036.4	Lypla1	protein_coding
ENSMUSG00000025905	4675	ENSMUSP00000125105.1	Oprk1	protein_coding
ENSMUSG00000025907	7607	ENSMUSP00000027040.6	Rb1cc1	protein_coding
ENSMUSG00000025909	4887	ENSMUSP00000118101.2	Sntg1	protein_coding
ENSMUSG00000025911	3239	ENSMUSP00000116627.1	Adhfe1	protein_coding
ENSMUSG00000025912	4980	ENSMUSP00000086034.4	Mybl1	protein_coding
ENSMUSG00000025915	3779	ENSMUSP00000126861.1	Sgk3	protein_coding
ENSMUSG00000025916	1425	ENSMUSP00000027049.3	Ppp1r42	protein_coding
ENSMUSG00000025917	1698	ENSMUSP00000027050.3	Cops5	protein_coding
ENSMUSG00000025920	3907	ENSMUSP00000122410.2	Stau2	protein_coding
ENSMUSG00000025921	3587	ENSMUSP00000027053.7	Rdh10	protein_coding
ENSMUSG00000025925	2268	ENSMUSP00000140744.1	Terf1	protein_coding
ENSMUSG00000025927	5863	ENSMUSP00000027059.4	Tfap2b	protein_coding
ENSMUSG00000025929	1171	ENSMUSP00000027061.4	Il17a	protein_coding
ENSMUSG00000025930	1741	ENSMUSP00000027062.5	Msc	protein_coding
ENSMUSG00000025931	5330	ENSMUSP00000141054.1	Paqr8	protein_coding
ENSMUSG00000025932	4366	ENSMUSP00000126383.3	Eya1	protein_coding
ENSMUSG00000025933	1261	ENSMUSP00000027064.7	Tmem14a	protein_coding
ENSMUSG00000025934	1457	ENSMUSP00000027067.8	Gsta3	protein_coding
ENSMUSG00000025935	2938	ENSMUSP00000027068.4	Tram1	protein_coding
ENSMUSG00000025937	4494	ENSMUSP00000027071.5	Lactb2	protein_coding
ENSMUSG00000025938	8509	ENSMUSP00000111062.2	Slco5a1	protein_coding
ENSMUSG00000025939	2181	ENSMUSP00000112741.2	Ube2w	protein_coding
ENSMUSG00000025940	1710	ENSMUSP00000070497.5	Tmem70	protein_coding
ENSMUSG00000025945	627	ENSMUSP00000027082.4	Crygf	protein_coding
ENSMUSG00000025946	2414	ENSMUSP00000027083.6	Pth2r	protein_coding
ENSMUSG00000025949	11237	ENSMUSP00000079926.7	Pikfyve	protein_coding
ENSMUSG00000025950	2302	ENSMUSP00000095316.4	Idh1	protein_coding
ENSMUSG00000025952	783	ENSMUSP00000027089.8	Crygc	protein_coding
ENSMUSG00000025955	1761	ENSMUSP00000063309.5	Akr1cl	protein_coding
ENSMUSG00000025956	2666	ENSMUSP00000050424.1	Mettl21a	protein_coding
ENSMUSG00000025958	8364	ENSMUSP00000084624.4	Creb1	protein_coding
ENSMUSG00000025959	7662	ENSMUSP00000109720.2	Klf7	protein_coding
ENSMUSG00000025961	1758	ENSMUSP00000027102.1	4933402D24Rik	protein_coding
ENSMUSG00000025962	4486	ENSMUSP00000027103.6	Fastkd2	protein_coding
ENSMUSG00000025963	1719	ENSMUSP00000109728.2	Mdh1b	protein_coding
ENSMUSG00000025964	6426	ENSMUSP00000084633.3	Adam23	protein_coding
ENSMUSG00000025967	1939	ENSMUSP00000116492.1	Eef1b2	protein_coding
ENSMUSG00000025968	2661	ENSMUSP00000027111.8	Ndufs1	protein_coding
ENSMUSG00000025969	6723	ENSMUSP00000074642.5	Nrp2	protein_coding
ENSMUSG00000025971	3540	ENSMUSP00000027114.5	Maip1	protein_coding
ENSMUSG00000025977	2635	ENSMUSP00000134054.1	Boll	protein_coding
ENSMUSG00000025978	3677	ENSMUSP00000027121.8	Rftn2	protein_coding
ENSMUSG00000025979	2840	ENSMUSP00000125415.1	Mob4	protein_coding
ENSMUSG00000025980	2423	ENSMUSP00000027123.8	Hspd1	protein_coding
ENSMUSG00000025981	1733	ENSMUSP00000027125.5	Coq10b	protein_coding
ENSMUSG00000025982	6195	ENSMUSP00000027127.7	Sf3b1	protein_coding
ENSMUSG00000025983	3807	ENSMUSP00000027128.4	Ccdc150	protein_coding
ENSMUSG00000025986	5498	ENSMUSP00000027131.4	Slc39a10	protein_coding
ENSMUSG00000025991	5555	ENSMUSP00000027144.7	Cps1	protein_coding
ENSMUSG00000025993	3370	ENSMUSP00000027137.4	Slc40a1	protein_coding
ENSMUSG00000025995	2953	ENSMUSP00000027139.8	Wdr75	protein_coding
ENSMUSG00000025997	9278	ENSMUSP00000027146.2	Ikzf2	protein_coding
ENSMUSG00000026000	4461	ENSMUSP00000109612.3	Lancl1	protein_coding
ENSMUSG00000026003	1916	ENSMUSP00000027153.5	Acadl	protein_coding
ENSMUSG00000026004	4459	ENSMUSP00000063843.3	Kansl1l	protein_coding
ENSMUSG00000026005	2724	ENSMUSP00000137941.1	Rpe	protein_coding
ENSMUSG00000026009	3241	ENSMUSP00000099891.3	Icos	protein_coding
ENSMUSG00000026011	1933	ENSMUSP00000027164.2	Ctla4	protein_coding
ENSMUSG00000026012	4347	ENSMUSP00000027165.2	Cd28	protein_coding
ENSMUSG00000026014	10024	ENSMUSP00000121023.2	Raph1	protein_coding
ENSMUSG00000026017	5463	ENSMUSP00000141169.1	Carf	protein_coding
ENSMUSG00000026018	3650	ENSMUSP00000027172.6	Ica1l	protein_coding
ENSMUSG00000026019	10012	ENSMUSP00000027173.8	Wdr12	protein_coding
ENSMUSG00000026020	9507	ENSMUSP00000140250.1	Nop58	protein_coding
ENSMUSG00000026021	1215	ENSMUSP00000088935.2	Sumo1	protein_coding
ENSMUSG00000026023	2108	ENSMUSP00000124680.1	Cdk15	protein_coding
ENSMUSG00000026024	6342	ENSMUSP00000027178.6	Als2	protein_coding
ENSMUSG00000026027	2960	ENSMUSP00000027185.4	Stradb	protein_coding
ENSMUSG00000026028	6189	ENSMUSP00000027186.5	Trak2	protein_coding
ENSMUSG00000026029	2585	ENSMUSP00000027189.8	Casp8	protein_coding
ENSMUSG00000026031	6572	ENSMUSP00000109952.1	Cflar	protein_coding
ENSMUSG00000026032	763	ENSMUSP00000027193.8	Ndufb3	protein_coding
ENSMUSG00000026034	1796	ENSMUSP00000034868.7	Clk1	protein_coding
ENSMUSG00000026035	1363	ENSMUSP00000112947.1	Ppil3	protein_coding
ENSMUSG00000026036	3769	ENSMUSP00000084799.6	Nif3l1	protein_coding
ENSMUSG00000026037	3561	ENSMUSP00000027198.5	Orc2	protein_coding
ENSMUSG00000026039	4939	ENSMUSP00000027202.8	Sgo2a	protein_coding
ENSMUSG00000026042	6625	ENSMUSP00000083620.4	Col5a2	protein_coding
ENSMUSG00000026043	5564	ENSMUSP00000085192.6	Col3a1	protein_coding
ENSMUSG00000026047	2359	ENSMUSP00000064500.2	Kdelc1	protein_coding
ENSMUSG00000026048	3907	ENSMUSP00000027214.3	Ercc5	protein_coding
ENSMUSG00000026049	1360	ENSMUSP00000114624.1	Tex30	protein_coding
ENSMUSG00000026051	902	ENSMUSP00000027217.8	1500015O10Rik	protein_coding
ENSMUSG00000026058	5278	ENSMUSP00000140157.1	Khdrbs2	protein_coding
ENSMUSG00000026062	5019	ENSMUSP00000027231.7	Slc9a2	protein_coding
ENSMUSG00000026063	1451	ENSMUSP00000127665.1	Pih1d3	protein_coding
ENSMUSG00000026064	4236	ENSMUSP00000156862.1	Ptp4a1	protein_coding
ENSMUSG00000026065	3962	ENSMUSP00000027233.7	Slc9a4	protein_coding
ENSMUSG00000026068	4889	ENSMUSP00000027237.5	Il18rap	protein_coding
ENSMUSG00000026069	5302	ENSMUSP00000095379.3	Il1rl1	protein_coding
ENSMUSG00000026070	4158	ENSMUSP00000103679.2	Il18r1	protein_coding
ENSMUSG00000026072	5819	ENSMUSP00000027241.4	Il1r1	protein_coding
ENSMUSG00000026073	1419	ENSMUSP00000027243.7	Il1r2	protein_coding
ENSMUSG00000026074	5782	ENSMUSP00000126961.2	Map4k4	protein_coding
ENSMUSG00000026077	4236	ENSMUSP00000054719.7	Npas2	protein_coding
ENSMUSG00000026078	3914	ENSMUSP00000027247.5	Pdcl3	protein_coding
ENSMUSG00000026080	4999	ENSMUSP00000142028.1	Chst10	protein_coding
ENSMUSG00000026082	4262	ENSMUSP00000027251.6	Rev1	protein_coding
ENSMUSG00000026083	7797	ENSMUSP00000027252.7	Eif5b	protein_coding
ENSMUSG00000026085	800	ENSMUSP00000027254.3	Lyg1	protein_coding
ENSMUSG00000026087	1757	ENSMUSP00000141883.1	Mrpl30	protein_coding
ENSMUSG00000026088	1231	ENSMUSP00000027257.8	Mitd1	protein_coding
ENSMUSG00000026090	4634	ENSMUSP00000123803.1	2010300C02Rik	protein_coding
ENSMUSG00000026094	3293	ENSMUSP00000027263.7	Stk17b	protein_coding
ENSMUSG00000026095	2442	ENSMUSP00000027264.3	Asnsd1	protein_coding
ENSMUSG00000026096	2283	ENSMUSP00000110128.1	Osgepl1	protein_coding
ENSMUSG00000026097	1910	ENSMUSP00000027266.3	Ormdl1	protein_coding
ENSMUSG00000026098	3054	ENSMUSP00000027267.7	Pms1	protein_coding
ENSMUSG00000026100	2705	ENSMUSP00000027269.5	Mstn	protein_coding
ENSMUSG00000026102	5767	ENSMUSP00000027271.2	Inpp1	protein_coding
ENSMUSG00000026103	5596	ENSMUSP00000110155.1	Gls	protein_coding
ENSMUSG00000026104	5151	ENSMUSP00000066743.7	Stat1	protein_coding
ENSMUSG00000026107	4790	ENSMUSP00000140059.1	Nabp1	protein_coding
ENSMUSG00000026109	3343	ENSMUSP00000080533.3	Tmeff2	protein_coding
ENSMUSG00000026110	7251	ENSMUSP00000114175.1	Mgat4a	protein_coding
ENSMUSG00000026111	1414	ENSMUSP00000027285.6	Unc50	protein_coding
ENSMUSG00000026112	3863	ENSMUSP00000027286.6	Coa5	protein_coding
ENSMUSG00000026113	5691	ENSMUSP00000027287.4	Inpp4a	protein_coding
ENSMUSG00000026114	3554	ENSMUSP00000027288.7	Cnga3	protein_coding
ENSMUSG00000026116	6698	ENSMUSP00000142307.1	Tmem131	protein_coding
ENSMUSG00000026117	2245	ENSMUSP00000027291.4	Zap70	protein_coding
ENSMUSG00000026121	3892	ENSMUSP00000142284.1	Sema4c	protein_coding
ENSMUSG00000026123	5176	ENSMUSP00000140475.1	Plekhb2	protein_coding
ENSMUSG00000026124	1040	ENSMUSP00000027298.3	Cfc1	protein_coding
ENSMUSG00000026125	1267	ENSMUSP00000027299.3	Prss39	protein_coding
ENSMUSG00000026126	1559	ENSMUSP00000027302.7	Ptpn18	protein_coding
ENSMUSG00000026127	5836	ENSMUSP00000027303.7	Imp4	protein_coding
ENSMUSG00000026131	23279	ENSMUSP00000110756.3	Dst	protein_coding
ENSMUSG00000026134	1975	ENSMUSP00000027312.9	Prim2	protein_coding
ENSMUSG00000026135	7473	ENSMUSP00000109366.1	Zfp142	protein_coding
ENSMUSG00000026141	4266	ENSMUSP00000110899.2	Col19a1	protein_coding
ENSMUSG00000026142	3687	ENSMUSP00000137770.1	Rhbdd1	protein_coding
ENSMUSG00000026147	3834	ENSMUSP00000051579.8	Col9a1	protein_coding
ENSMUSG00000026149	1508	ENSMUSP00000027331.2	Tm4sf20	protein_coding
ENSMUSG00000026150	2087	ENSMUSP00000124334.1	Mff	protein_coding
ENSMUSG00000026153	5536	ENSMUSP00000027337.8	Fam135a	protein_coding
ENSMUSG00000026154	683	ENSMUSP00000027338.3	Sdhaf4	protein_coding
ENSMUSG00000026155	2289	ENSMUSP00000027339.7	Smap1	protein_coding
ENSMUSG00000026156	5655	ENSMUSP00000066582.5	B3gat2	protein_coding
ENSMUSG00000026158	4844	ENSMUSP00000027343.5	Ogfrl1	protein_coding
ENSMUSG00000026159	8044	ENSMUSP00000140170.1	Agfg1	protein_coding
ENSMUSG00000026162	1053	ENSMUSP00000116797.1	Nhej1	protein_coding
ENSMUSG00000026163	8154	ENSMUSP00000124872.1	Sphkap	protein_coding
ENSMUSG00000026166	1417	ENSMUSP00000027351.7	Ccl20	protein_coding
ENSMUSG00000026167	2468	ENSMUSP00000006718.8	Wnt10a	protein_coding
ENSMUSG00000026170	1892	ENSMUSP00000027356.5	Cyp27a1	protein_coding
ENSMUSG00000026171	1507	ENSMUSP00000138040.1	Rnf25	protein_coding
ENSMUSG00000026172	1890	ENSMUSP00000027358.4	Bcs1l	protein_coding
ENSMUSG00000026173	4682	ENSMUSP00000115322.1	Plcd4	protein_coding
ENSMUSG00000026174	3268	ENSMUSP00000084466.5	Cnot9	protein_coding
ENSMUSG00000026175	3124	ENSMUSP00000027366.6	Vil1	protein_coding
ENSMUSG00000026176	2876	ENSMUSP00000027367.7	Ctdsp1	protein_coding
ENSMUSG00000026177	2315	ENSMUSP00000027368.5	Slc11a1	protein_coding
ENSMUSG00000026179	3054	ENSMUSP00000084478.4	Pnkd	protein_coding
ENSMUSG00000026180	3046	ENSMUSP00000102512.2	Cxcr2	protein_coding
ENSMUSG00000026181	4922	ENSMUSP00000027373.9	Ppm1f	protein_coding
ENSMUSG00000026182	437	ENSMUSP00000027374.5	Tnp1	protein_coding
ENSMUSG00000026185	6006	ENSMUSP00000027377.8	Igfbp5	protein_coding
ENSMUSG00000026187	2555	ENSMUSP00000027379.8	Xrcc5	protein_coding
ENSMUSG00000026188	2928	ENSMUSP00000027380.5	Tmem169	protein_coding
ENSMUSG00000026189	1186	ENSMUSP00000027381.6	Pecr	protein_coding
ENSMUSG00000026192	2845	ENSMUSP00000027384.5	Atic	protein_coding
ENSMUSG00000026193	8315	ENSMUSP00000054499.6	Fn1	protein_coding
ENSMUSG00000026196	5659	ENSMUSP00000027393.7	Bard1	protein_coding
ENSMUSG00000026197	1316	ENSMUSP00000027394.5	Zfand2b	protein_coding
ENSMUSG00000026198	2966	ENSMUSP00000027396.8	Abcb6	protein_coding
ENSMUSG00000026199	2770	ENSMUSP00000135971.1	Ankzf1	protein_coding
ENSMUSG00000026200	2927	ENSMUSP00000136285.1	Glb1l	protein_coding
ENSMUSG00000026201	2876	ENSMUSP00000027401.4	Stk16	protein_coding
ENSMUSG00000026202	2840	ENSMUSP00000140657.1	Tuba4a	protein_coding
ENSMUSG00000026203	3066	ENSMUSP00000140566.1	Dnajb2	protein_coding
ENSMUSG00000026204	3554	ENSMUSP00000027404.5	Ptprn	protein_coding
ENSMUSG00000026205	2059	ENSMUSP00000027405.4	Slc23a3	protein_coding
ENSMUSG00000026207	10801	ENSMUSP00000084361.5	Speg	protein_coding
ENSMUSG00000026208	3028	ENSMUSP00000027409.9	Des	protein_coding
ENSMUSG00000026209	2833	ENSMUSP00000140035.1	Dnpep	protein_coding
ENSMUSG00000026211	5679	ENSMUSP00000109197.2	Obsl1	protein_coding
ENSMUSG00000026213	4458	ENSMUSP00000027414.9	Stk11ip	protein_coding
ENSMUSG00000026219	9632	ENSMUSP00000027421.6	Trip12	protein_coding
ENSMUSG00000026220	3207	ENSMUSP00000027422.5	Slc16a14	protein_coding
ENSMUSG00000026222	3807	ENSMUSP00000120604.1	Sp100	protein_coding
ENSMUSG00000026223	2230	ENSMUSP00000027425.9	Itm2c	protein_coding
ENSMUSG00000026224	1146	ENSMUSP00000027426.4	4933407L21Rik	protein_coding
ENSMUSG00000026226	1110	ENSMUSP00000154290.1	Spata3	protein_coding
ENSMUSG00000026227	3331	ENSMUSP00000131459.1	2810459M11Rik	protein_coding
ENSMUSG00000026228	2083	ENSMUSP00000027431.6	Htr2b	protein_coding
ENSMUSG00000026229	3112	ENSMUSP00000027432.8	Psmd1	protein_coding
ENSMUSG00000026234	8202	ENSMUSP00000027438.6	Ncl	protein_coding
ENSMUSG00000026235	6328	ENSMUSP00000027451.6	Epha4	protein_coding
ENSMUSG00000026237	1534	ENSMUSP00000148301.1	Nmur1	protein_coding
ENSMUSG00000026238	1216	ENSMUSP00000044188.8	Ptma	protein_coding
ENSMUSG00000026239	1306	ENSMUSP00000137956.1	Pde6d	protein_coding
ENSMUSG00000026240	5383	ENSMUSP00000113587.1	Cops7b	protein_coding
ENSMUSG00000026241	1042	ENSMUSP00000027449.4	Nppc	protein_coding
ENSMUSG00000026245	2036	ENSMUSP00000129828.1	Farsb	protein_coding
ENSMUSG00000026246	2092	ENSMUSP00000027455.6	Alppl2	protein_coding
ENSMUSG00000026247	3033	ENSMUSP00000125096.1	Ecel1	protein_coding
ENSMUSG00000026248	1424	ENSMUSP00000027464.8	Mrpl44	protein_coding
ENSMUSG00000026249	2210	ENSMUSP00000027467.4	Serpine2	protein_coding
ENSMUSG00000026251	2949	ENSMUSP00000139537.1	Chrnd	protein_coding
ENSMUSG00000026253	2780	ENSMUSP00000027470.7	Chrng	protein_coding
ENSMUSG00000026254	3473	ENSMUSP00000108861.1	Eif4e2	protein_coding
ENSMUSG00000026255	1854	ENSMUSP00000027472.6	Efhd1	protein_coding
ENSMUSG00000026258	478	ENSMUSP00000027476.4	Snorc	protein_coding
ENSMUSG00000026259	3109	ENSMUSP00000066894.5	Ngef	protein_coding
ENSMUSG00000026260	2020	ENSMUSP00000027478.6	Ndufa10	protein_coding
ENSMUSG00000026269	4034	ENSMUSP00000136959.1	Rnpepl1	protein_coding
ENSMUSG00000026270	2902	ENSMUSP00000027488.4	Capn10	protein_coding
ENSMUSG00000026271	4214	ENSMUSP00000126914.1	Gpr35	protein_coding
ENSMUSG00000026272	1553	ENSMUSP00000027491.5	Agxt	protein_coding
ENSMUSG00000026273	3097	ENSMUSP00000108566.1	Mterf4	protein_coding
ENSMUSG00000026274	5779	ENSMUSP00000027493.3	Pask	protein_coding
ENSMUSG00000026275	10315	ENSMUSP00000027494.4	Ppp1r7	protein_coding
ENSMUSG00000026276	3779	ENSMUSP00000027495.8	Sept2	protein_coding
ENSMUSG00000026277	4249	ENSMUSP00000027498.7	Stk25	protein_coding
ENSMUSG00000026278	1468	ENSMUSP00000027499.6	Bok	protein_coding
