dnovemcinctus	mdomestica	ggallus	xtropicalis	drerio	olatipes	pmarinus	eburgeri	cintestinalis	dmelanogaster	celegans
ENSMUSG00000022657	ENSDNOG00000044259	ENSMODG00000018085	0	0	ENSDARG00000095640	0	0	0	0	0	0
ENSMUSG00000022658	ENSDNOG00000046524	ENSMODG00000018096	ENSGALG00000015379	0	ENSDARG00000079805	ENSORLG00000008670	0	0	0	0	0
ENSMUSG00000022659	ENSDNOG00000011769	ENSMODG00000025556	0	0	0	0	0	0	0	0	0
ENSMUSG00000022661	ENSDNOG00000004455	ENSMODG00000028535	ENSGALG00000015396	ENSXETG00000016316	0	ENSORLG00000028378	0	0	0	0	0
ENSMUSG00000022663	ENSDNOG00000005673	ENSMODG00000018112	ENSGALG00000015204	ENSXETG00000002424	ENSDARG00000009350	ENSORLG00000019346	0	ENSEBUG00000009960	0	FBgn0036813	WBGene00021922
ENSMUSG00000022664	ENSDNOG00000002227	ENSMODG00000018114	ENSGALG00000015197	ENSXETG00000002426	ENSDARG00000000001	ENSORLG00000013434	0	ENSEBUG00000010092	0	0	0
ENSMUSG00000022665	ENSDNOG00000046674	ENSMODG00000018118	0	0	0	0	ENSPMAG00000007118	0	0	0	0
ENSMUSG00000022667	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022668	ENSDNOG00000002387	ENSMODG00000018130	ENSGALG00000015190	ENSXETG00000016308	ENSDARG00000075033	0	0	ENSEBUG00000004225	0	0	0
ENSMUSG00000022671	ENSDNOG00000047552	ENSMODG00000014324	ENSGALG00000035749	ENSXETG00000008275	ENSDARG00000057928	ENSORLG00000002030	0	0	ENSCING00000015051	0	0
ENSMUSG00000022672	ENSDNOG00000014147	0	ENSGALG00000042469	ENSXETG00000004851	ENSDARG00000075083	ENSORLG00000005452	0	0	ENSCING00000023900	0	0
ENSMUSG00000022673	ENSDNOG00000014263	ENSMODG00000010213	ENSGALG00000012915	ENSXETG00000004854	ENSDARG00000040041	ENSORLG00000017467	0	ENSEBUG00000004100	ENSCING00000007268	FBgn0015929	WBGene00003156
ENSMUSG00000022674	ENSDNOG00000012706	0	ENSGALG00000028133	ENSXETG00000004856	ENSDARG00000028198	ENSORLG00000026484	ENSPMAG00000003150	ENSEBUG00000004508	ENSCING00000001085	FBgn0035601	WBGene00006730
ENSMUSG00000022676	0	ENSMODG00000010173	0	ENSXETG00000024006	0	0	0	0	0	0	0
ENSMUSG00000022677	ENSDNOG00000041435	ENSMODG00000004204	ENSGALG00000006532	0	ENSDARG00000071198	ENSORLG00000013435	ENSPMAG00000000904	ENSEBUG00000013616	0	0	0
ENSMUSG00000022678	ENSDNOG00000042910	ENSMODG00000004385	ENSGALG00000032590	ENSXETG00000005528	ENSDARG00000103902	0	0	0	0	0	0
ENSMUSG00000022679	0	ENSMODG00000004486	0	0	ENSDARG00000104457	0	0	0	0	0	0
ENSMUSG00000022680	ENSDNOG00000016009	ENSMODG00000004563	ENSGALG00000034829	ENSXETG00000005533	ENSDARG00000101886	ENSORLG00000018963	0	ENSEBUG00000007446	0	FBgn0031174	WBGene00007593
ENSMUSG00000022681	0	ENSMODG00000004568	ENSGALG00000040905	ENSXETG00000033953	0	ENSORLG00000013663	0	ENSEBUG00000013501	ENSCING00000018097	FBgn0034371	0
ENSMUSG00000022682	ENSDNOG00000000907	ENSMODG00000004597	ENSGALG00000041989	ENSXETG00000005536	ENSDARG00000102997	ENSORLG00000026398	0	ENSEBUG00000017011	ENSCING00000012588	FBgn0032988	WBGene00007980
ENSMUSG00000022683	ENSDNOG00000032249	ENSMODG00000004949	0	0	ENSDARG00000099344	ENSORLG00000024365	ENSPMAG00000005846	0	0	0	0
ENSMUSG00000022684	ENSDNOG00000000837	ENSMODG00000004930	ENSGALG00000003111	ENSXETG00000016613	0	ENSORLG00000010108	ENSPMAG00000007155	ENSEBUG00000013824	0	0	0
ENSMUSG00000022685	ENSDNOG00000000833	ENSMODG00000004915	ENSGALG00000003091	ENSXETG00000010994	ENSDARG00000102634	ENSORLG00000024893	ENSPMAG00000003956	ENSEBUG00000007052	ENSCING00000010142	0	0
ENSMUSG00000022686	ENSDNOG00000010581	ENSMODG00000024772	ENSGALG00000032526	ENSXETG00000025974	0	ENSORLG00000026954	0	0	ENSCING00000021205	0	0
ENSMUSG00000022687	ENSDNOG00000000840	ENSMODG00000018140	ENSGALG00000015152	ENSXETG00000012171	ENSDARG00000074335	ENSORLG00000009087	0	0	0	0	0
ENSMUSG00000022696	ENSDNOG00000019812	ENSMODG00000018157	ENSGALG00000014812	ENSXETG00000033839	0	0	0	0	0	0	WBGene00018205
ENSMUSG00000022698	ENSDNOG00000036648	ENSMODG00000018160	ENSGALG00000033889	ENSXETG00000009909	ENSDARG00000027825	ENSORLG00000009116	ENSPMAG00000003009	ENSEBUG00000016873	ENSCING00000023073	FBgn0024188	WBGene00018238
ENSMUSG00000022701	ENSDNOG00000003569	ENSMODG00000018169	ENSGALG00000053464	ENSXETG00000030332	ENSDARG00000027851	ENSORLG00000009175	0	0	ENSCING00000004279	0	0
ENSMUSG00000022702	ENSDNOG00000008565	ENSMODG00000010135	ENSGALG00000033598	ENSXETG00000018598	ENSDARG00000013434	ENSORLG00000017037	0	ENSEBUG00000012956	ENSCING00000007804	FBgn0022786	WBGene00019627
ENSMUSG00000022704	ENSDNOG00000031370	ENSMODG00000018172	ENSGALG00000037485	ENSXETG00000002805	ENSDARG00000016093	ENSORLG00000009211	0	ENSEBUG00000008093	ENSCING00000020677	FBgn0036000	WBGene00006567
ENSMUSG00000022705	ENSDNOG00000012315	ENSMODG00000018173	ENSGALG00000015117	0	ENSDARG00000032131	ENSORLG00000009228	0	0	0	0	0
ENSMUSG00000022706	ENSDNOG00000038360	ENSMODG00000010070	ENSGALG00000053063	ENSXETG00000018600	ENSDARG00000043554	ENSORLG00000002574	0	0	0	FBgn0037892	WBGene00018793
ENSMUSG00000022707	ENSDNOG00000049366	ENSMODG00000016876	ENSGALG00000042771	ENSXETG00000004032	0	ENSORLG00000003252	0	0	0	FBgn0053138	WBGene00011409
ENSMUSG00000022708	ENSDNOG00000042525	ENSMODG00000018181	ENSGALG00000015094	ENSXETG00000031873	ENSDARG00000005586	ENSORLG00000025378	0	ENSEBUG00000013934	0	0	0
ENSMUSG00000022710	ENSDNOG00000003304	ENSMODG00000005702	ENSGALG00000007307	ENSXETG00000008697	ENSDARG00000073710	ENSORLG00000012876	ENSPMAG00000005350	ENSEBUG00000003452	ENSCING00000004226	FBgn0030366	0
ENSMUSG00000022711	0	0	ENSGALG00000007326	ENSXETG00000008692	ENSDARG00000037654	ENSORLG00000030353	0	0	0	0	0
ENSMUSG00000022715	ENSDNOG00000031254	ENSMODG00000005797	ENSGALG00000039005	ENSXETG00000008689	ENSDARG00000038089	0	0	0	0	0	0
ENSMUSG00000022718	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022721	ENSDNOG00000044872	ENSMODG00000010321	ENSGALG00000002094	ENSXETG00000006323	ENSDARG00000002830	ENSORLG00000015143	0	ENSEBUG00000000401	ENSCING00000021886	0	0
ENSMUSG00000022722	ENSDNOG00000032833	ENSMODG00000017010	ENSGALG00000019215	ENSXETG00000026476	ENSDARG00000032056	0	0	ENSEBUG00000011004	0	FBgn0034446	WBGene00000193
ENSMUSG00000022723	ENSDNOG00000015775	0	ENSGALG00000024077	0	0	0	ENSPMAG00000001070	0	0	0	0
ENSMUSG00000022724	ENSDNOG00000044873	ENSMODG00000017017	ENSGALG00000039302	ENSXETG00000002045	ENSDARG00000036359	0	0	0	ENSCING00000005981	0	0
ENSMUSG00000022738	ENSDNOG00000012746	0	ENSGALG00000044245	0	0	0	0	ENSEBUG00000008403	0	0	0
ENSMUSG00000022742	ENSDNOG00000044574	ENSMODG00000017065	ENSGALG00000015240	ENSXETG00000002047	ENSDARG00000062025	ENSORLG00000005599	0	ENSEBUG00000008151	0	FBgn0021944	0
ENSMUSG00000022744	ENSDNOG00000016225	ENSMODG00000017064	ENSGALG00000039538	ENSXETG00000027304	0	ENSORLG00000030168	0	0	ENSCING00000020106	0	0
ENSMUSG00000022747	ENSDNOG00000012359	ENSMODG00000002374	ENSGALG00000015252	ENSXETG00000026104	0	0	ENSPMAG00000007004	0	0	0	0
ENSMUSG00000022748	ENSDNOG00000040418	ENSMODG00000002275	ENSGALG00000015267	ENSXETG00000011858	ENSDARG00000112579	ENSORLG00000020340	ENSPMAG00000001146	ENSEBUG00000002156	ENSCING00000014848	0	0
ENSMUSG00000022749	ENSDNOG00000004356	ENSMODG00000002218	ENSGALG00000015273	ENSXETG00000011861	ENSDARG00000044357	ENSORLG00000016112	ENSPMAG00000007148	ENSEBUG00000011341	ENSCING00000008736	FBgn0031304	WBGene00008974
ENSMUSG00000022750	ENSDNOG00000001562	ENSMODG00000014290	ENSGALG00000006422	ENSXETG00000004256	ENSDARG00000088807	ENSORLG00000014319	ENSPMAG00000008337	ENSEBUG00000016634	0	0	0
ENSMUSG00000022751	ENSDNOG00000047522	ENSMODG00000002171	ENSGALG00000015275	ENSXETG00000011864	ENSDARG00000017590	ENSORLG00000016094	0	ENSEBUG00000015075	ENSCING00000022997	FBgn0037687	0
ENSMUSG00000022752	ENSDNOG00000035215	ENSMODG00000002158	ENSGALG00000015285	ENSXETG00000011867	ENSDARG00000029639	ENSORLG00000016134	0	ENSEBUG00000004717	ENSCING00000009049	FBgn0032397	0
ENSMUSG00000022753	ENSDNOG00000037394	ENSMODG00000002224	ENSGALG00000015263	ENSXETG00000011857	ENSDARG00000009430	ENSORLG00000028593	0	0	0	0	0
ENSMUSG00000022754	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022755	ENSDNOG00000014697	0	ENSGALG00000015294	0	0	ENSORLG00000022597	0	0	0	0	0
ENSMUSG00000022756	ENSDNOG00000002798	ENSMODG00000014340	ENSGALG00000002204	ENSXETG00000021616	ENSDARG00000068286	ENSORLG00000013067	ENSPMAG00000002596	0	ENSCING00000007337	0	0
ENSMUSG00000022757	0	0	ENSGALG00000015299	ENSXETG00000013350	ENSDARG00000003641	ENSORLG00000011786	0	ENSEBUG00000004121	ENSCING00000004004	0	0
ENSMUSG00000022758	ENSDNOG00000047708	0	ENSGALG00000026902	0	0	0	ENSPMAG00000007268	ENSEBUG00000007600	0	0	0
ENSMUSG00000022759	ENSDNOG00000045873	ENSMODG00000017606	ENSGALG00000028023	ENSXETG00000021614	ENSDARG00000098365	0	0	0	ENSCING00000006326	0	0
ENSMUSG00000022760	ENSDNOG00000019491	0	ENSGALG00000036459	ENSXETG00000019248	ENSDARG00000070704	0	0	0	0	0	0
ENSMUSG00000022761	ENSDNOG00000011583	ENSMODG00000017621	ENSGALG00000031175	ENSXETG00000008276	ENSDARG00000015905	ENSORLG00000007922	ENSPMAG00000006338	ENSEBUG00000010656	0	FBgn0040344	0
ENSMUSG00000022762	ENSDNOG00000014757	ENSMODG00000020992	ENSGALG00000015737	ENSXETG00000007054	0	ENSORLG00000006321	0	0	0	0	0
ENSMUSG00000022763	ENSDNOG00000047997	0	ENSGALG00000007720	ENSXETG00000008277	ENSDARG00000062780	ENSORLG00000007952	0	0	0	0	0
ENSMUSG00000022765	ENSDNOG00000005913	ENSMODG00000017641	ENSGALG00000040128	ENSXETG00000022403	ENSDARG00000038518	ENSORLG00000002265	ENSPMAG00000008132	ENSEBUG00000016295	ENSCING00000004884	FBgn0034913	WBGene00019305
ENSMUSG00000022766	ENSDNOG00000032657	ENSMODG00000017654	ENSGALG00000039239	ENSXETG00000022417	ENSDARG00000021208	ENSORLG00000002247	ENSPMAG00000008131	0	0	0	0
ENSMUSG00000022768	ENSDNOG00000033688	ENSMODG00000017685	0	0	0	0	0	0	0	0	0
ENSMUSG00000022769	ENSDNOG00000000815	ENSMODG00000017698	ENSGALG00000031982	ENSXETG00000018564	ENSDARG00000035631	ENSORLG00000024163	0	ENSEBUG00000002794	0	FBgn0037312	0
ENSMUSG00000022770	ENSDNOG00000006950	ENSMODG00000020512	ENSGALG00000006908	ENSXETG00000003464	ENSDARG00000102216	ENSORLG00000007626	0	0	0	0	0
ENSMUSG00000022771	ENSDNOG00000024314	ENSMODG00000014353	ENSGALG00000042052	ENSXETG00000018594	ENSDARG00000002016	ENSORLG00000019912	0	ENSEBUG00000011778	ENSCING00000008164	FBgn0034109	WBGene00000880
ENSMUSG00000022772	ENSDNOG00000009689	ENSMODG00000015905	ENSGALG00000008545	ENSXETG00000031770	0	0	0	0	0	0	0
ENSMUSG00000022773	ENSDNOG00000004882	ENSMODG00000014358	ENSGALG00000052223	ENSXETG00000024940	ENSDARG00000035630	0	ENSPMAG00000003573	0	0	0	0
ENSMUSG00000022774	ENSDNOG00000047711	0	ENSGALG00000006843	ENSXETG00000019384	ENSDARG00000014898	ENSORLG00000011235	ENSPMAG00000007450	ENSEBUG00000001862	ENSCING00000018317	FBgn0022943	WBGene00009141
ENSMUSG00000022779	ENSDNOG00000003290	ENSMODG00000017702	ENSGALG00000030051	ENSXETG00000018565	ENSDARG00000027586	ENSORLG00000017296	ENSPMAG00000006247	ENSEBUG00000001506	ENSCING00000007910	FBgn0026015	WBGene00012995
ENSMUSG00000022780	ENSDNOG00000016903	ENSMODG00000020511	ENSGALG00000006855	ENSXETG00000019380	ENSDARG00000075159	ENSORLG00000011217	ENSPMAG00000005501	0	0	0	0
ENSMUSG00000022781	ENSDNOG00000031163	ENSMODG00000018459	ENSGALG00000006426	ENSXETG00000011808	0	0	0	0	0	0	0
ENSMUSG00000022783	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022787	ENSDNOG00000045087	ENSMODG00000018445	ENSGALG00000006395	0	ENSDARG00000079659	ENSORLG00000027710	0	0	0	0	0
ENSMUSG00000022788	ENSDNOG00000035078	ENSMODG00000012742	ENSGALG00000012932	ENSXETG00000012246	0	0	0	ENSEBUG00000009540	0	0	0
ENSMUSG00000022789	ENSDNOG00000010473	ENSMODG00000012763	ENSGALG00000012929	ENSXETG00000012252	ENSDARG00000015006	0	0	ENSEBUG00000004907	ENSCING00000004741	0	0
ENSMUSG00000022790	ENSDNOG00000030757	ENSMODG00000018186	ENSGALG00000015084	ENSXETG00000023033	ENSDARG00000109783	ENSORLG00000013761	0	0	0	0	0
ENSMUSG00000022791	ENSDNOG00000035045	ENSMODG00000018423	0	ENSXETG00000001175	ENSDARG00000090646	ENSORLG00000013216	0	ENSEBUG00000007996	ENSCING00000003985	FBgn0028484	0
ENSMUSG00000022792	ENSDNOG00000024479	0	ENSGALG00000012919	ENSXETG00000012271	ENSDARG00000077299	ENSORLG00000002424	ENSPMAG00000002536	ENSEBUG00000006652	ENSCING00000007475	FBgn0035064	WBGene00006968
ENSMUSG00000022793	ENSDNOG00000032044	ENSMODG00000018190	ENSGALG00000015069	ENSXETG00000023016	ENSDARG00000104042	ENSORLG00000006677	0	ENSEBUG00000013268	0	0	0
ENSMUSG00000022797	ENSDNOG00000003263	0	ENSGALG00000007485	ENSXETG00000003077	0	0	0	0	0	0	0
ENSMUSG00000022798	ENSDNOG00000025709	0	ENSGALG00000019240	0	0	0	0	0	ENSCING00000017929	0	0
ENSMUSG00000022799	ENSDNOG00000002565	ENSMODG00000018191	ENSGALG00000015077	ENSXETG00000024732	ENSDARG00000059472	0	0	0	0	0	0
ENSMUSG00000022800	ENSDNOG00000040247	ENSMODG00000018393	ENSGALG00000007581	ENSXETG00000024516	0	ENSORLG00000009073	0	0	0	0	0
ENSMUSG00000022801	ENSDNOG00000001253	ENSMODG00000018392	ENSGALG00000007595	ENSXETG00000014298	ENSDARG00000100679	ENSORLG00000022065	ENSPMAG00000006262	ENSEBUG00000013253	0	FBgn0032633	0
ENSMUSG00000022802	ENSDNOG00000045591	ENSMODG00000018387	ENSGALG00000012067	0	ENSDARG00000061265	ENSORLG00000014177	ENSPMAG00000003980	ENSEBUG00000005756	0	FBgn0086359	WBGene00012796
ENSMUSG00000022803	ENSDNOG00000033287	ENSMODG00000018205	ENSGALG00000014988	ENSXETG00000018064	ENSDARG00000069922	ENSORLG00000008627	ENSPMAG00000002983	0	0	0	0
ENSMUSG00000022805	ENSDNOG00000011764	ENSMODG00000018208	0	ENSXETG00000018054	ENSDARG00000006292	ENSORLG00000017955	0	ENSEBUG00000012815	ENSCING00000005086	0	0
ENSMUSG00000022807	ENSDNOG00000024690	ENSMODG00000018380	ENSGALG00000012059	ENSXETG00000023393	ENSDARG00000076328	ENSORLG00000001914	0	ENSEBUG00000016149	0	0	0
ENSMUSG00000022808	ENSDNOG00000011073	ENSMODG00000018377	ENSGALG00000012052	ENSXETG00000023389	ENSDARG00000022659	ENSORLG00000016177	0	ENSEBUG00000009210	ENSCING00000004454	0	0
ENSMUSG00000022809	ENSDNOG00000037850	ENSMODG00000018212	0	ENSXETG00000018029	ENSDARG00000029766	0	0	0	0	0	0
ENSMUSG00000022811	ENSDNOG00000000280	ENSMODG00000018374	ENSGALG00000012049	ENSXETG00000023383	ENSDARG00000055106	ENSORLG00000015950	ENSPMAG00000004537	ENSEBUG00000011792	0	0	0
ENSMUSG00000022812	ENSDNOG00000006774	ENSMODG00000018216	ENSGALG00000014977	ENSXETG00000018019	0	ENSORLG00000017950	0	0	0	0	0
ENSMUSG00000022814	ENSDNOG00000016932	ENSMODG00000018353	ENSGALG00000011770	0	ENSDARG00000012215	ENSORLG00000020552	0	ENSEBUG00000005305	ENSCING00000009202	FBgn0003257	WBGene00011559
ENSMUSG00000022816	ENSDNOG00000038834	ENSMODG00000018227	ENSGALG00000014970	ENSXETG00000018009	0	ENSORLG00000017943	0	ENSEBUG00000010053	0	0	0
ENSMUSG00000022817	ENSDNOG00000035121	ENSMODG00000018360	ENSGALG00000029766	ENSXETG00000031218	ENSDARG00000012942	ENSORLG00000020862	ENSPMAG00000007404	0	0	0	0
ENSMUSG00000022818	0	ENSMODG00000002737	ENSGALG00000008283	ENSXETG00000001660	0	0	0	0	0	0	0
ENSMUSG00000022820	ENSDNOG00000035843	ENSMODG00000018229	ENSGALG00000027688	0	ENSDARG00000019332	ENSORLG00000007417	0	0	0	FBgn0033961	WBGene00012166
ENSMUSG00000022821	ENSDNOG00000023792	ENSMODG00000018230	ENSGALG00000014966	ENSXETG00000009916	ENSDARG00000058005	ENSORLG00000007442	0	ENSEBUG00000011671	ENSCING00000012421	FBgn0040211	WBGene00001843
ENSMUSG00000022822	ENSDNOG00000008128	ENSMODG00000003135	ENSGALG00000008369	ENSXETG00000014295	ENSDARG00000061233	0	ENSPMAG00000002540	0	0	0	0
ENSMUSG00000022824	ENSDNOG00000034032	ENSMODG00000018367	ENSGALG00000011806	0	0	0	0	0	0	0	0
ENSMUSG00000022827	ENSDNOG00000008174	ENSMODG00000018232	ENSGALG00000014949	0	ENSDARG00000040959	ENSORLG00000020457	0	0	0	0	0
ENSMUSG00000022828	ENSDNOG00000046763	ENSMODG00000018233	ENSGALG00000042320	ENSXETG00000009918	ENSDARG00000000542	ENSORLG00000020453	ENSPMAG00000005549	ENSEBUG00000005538	ENSCING00000000616	FBgn0015828	WBGene00013998
ENSMUSG00000022829	ENSDNOG00000008810	ENSMODG00000018243	ENSGALG00000032361	ENSXETG00000029973	ENSDARG00000006383	ENSORLG00000020448	0	0	0	0	0
ENSMUSG00000022831	ENSDNOG00000049207	ENSMODG00000018280	ENSGALG00000039682	ENSXETG00000015412	ENSDARG00000012729	ENSORLG00000015871	0	ENSEBUG00000004753	0	0	0
ENSMUSG00000022832	ENSDNOG00000000871	ENSMODG00000018347	0	0	0	0	0	ENSEBUG00000007133	0	0	0
ENSMUSG00000022833	ENSDNOG00000000957	0	ENSGALG00000044814	0	ENSDARG00000098734	0	0	0	ENSCING00000000492	0	0
ENSMUSG00000022836	ENSDNOG00000045381	ENSMODG00000018341	ENSGALG00000011708	0	0	ENSORLG00000020132	ENSPMAG00000009818	ENSEBUG00000005161	ENSCING00000006993	0	0
ENSMUSG00000022837	ENSDNOG00000018398	ENSMODG00000018272	ENSGALG00000011655	ENSXETG00000013923	0	ENSORLG00000001455	ENSPMAG00000008738	ENSEBUG00000005060	ENSCING00000006900	0	0
ENSMUSG00000022838	ENSDNOG00000042536	0	ENSGALG00000011657	ENSXETG00000000002	ENSDARG00000010432	ENSORLG00000010034	0	0	0	0	0
ENSMUSG00000022840	ENSDNOG00000009964	ENSMODG00000018333	ENSGALG00000031244	ENSXETG00000024163	ENSDARG00000091342	ENSORLG00000009753	ENSPMAG00000007932	ENSEBUG00000003443	ENSCING00000020025	FBgn0263131	0
ENSMUSG00000022841	ENSDNOG00000015738	ENSMODG00000003303	ENSGALG00000008432	ENSXETG00000017276	0	ENSORLG00000014164	0	ENSEBUG00000009535	0	0	0
ENSMUSG00000022842	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022843	ENSDNOG00000005730	ENSMODG00000002557	ENSGALG00000025804	ENSXETG00000017289	0	0	ENSPMAG00000004795	ENSEBUG00000017081	0	0	0
ENSMUSG00000022844	ENSDNOG00000013909	ENSMODG00000018328	ENSGALG00000011689	0	ENSDARG00000069242	ENSORLG00000009839	ENSPMAG00000007893	ENSEBUG00000006926	ENSCING00000007008	FBgn0032514	0
ENSMUSG00000022847	ENSDNOG00000031228	ENSMODG00000002581	ENSGALG00000025876	0	ENSDARG00000079158	ENSORLG00000026437	0	0	0	0	0
ENSMUSG00000022848	ENSDNOG00000015403	ENSMODG00000018322	ENSGALG00000032632	ENSXETG00000012022	ENSDARG00000009783	ENSORLG00000009930	0	ENSEBUG00000009192	0	0	0
ENSMUSG00000022849	ENSDNOG00000034751	ENSMODG00000018320	ENSGALG00000011677	ENSXETG00000012023	ENSDARG00000033771	ENSORLG00000009946	0	ENSEBUG00000010237	0	FBgn0263025	0
ENSMUSG00000022853	ENSDNOG00000049206	ENSMODG00000002671	ENSGALG00000053254	ENSXETG00000031689	ENSDARG00000070029	ENSORLG00000016481	0	0	0	0	0
ENSMUSG00000022855	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022856	0	ENSMODG00000002715	0	0	ENSDARG00000070028	ENSORLG00000016494	ENSPMAG00000007382	ENSEBUG00000013259	0	0	0
ENSMUSG00000022857	ENSDNOG00000002480	0	ENSGALG00000015730	ENSXETG00000012422	0	0	0	ENSEBUG00000015521	0	0	0
ENSMUSG00000022858	0	0	ENSGALG00000006531	ENSXETG00000007511	ENSDARG00000002168	0	ENSPMAG00000002818	0	0	0	0
ENSMUSG00000022860	ENSDNOG00000002477	ENSMODG00000020990	ENSGALG00000015720	ENSXETG00000002052	ENSDARG00000034528	ENSORLG00000019598	0	0	0	0	0
ENSMUSG00000022861	ENSDNOG00000002782	ENSMODG00000023132	ENSGALG00000005721	0	ENSDARG00000062696	ENSORLG00000025010	0	0	0	0	0
ENSMUSG00000022863	ENSDNOG00000045480	0	0	ENSXETG00000005781	ENSDARG00000069065	ENSORLG00000028396	0	0	0	0	0
ENSMUSG00000022864	ENSDNOG00000041614	ENSMODG00000020989	ENSGALG00000028290	ENSXETG00000002049	ENSDARG00000030803	ENSORLG00000023562	0	0	0	0	0
ENSMUSG00000022865	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022867	ENSDNOG00000006945	0	ENSGALG00000015693	ENSXETG00000023135	ENSDARG00000012314	ENSORLG00000000577	0	0	0	0	0
ENSMUSG00000022868	ENSDNOG00000031451	ENSMODG00000015886	ENSGALG00000008601	ENSXETG00000019385	ENSDARG00000069293	ENSORLG00000009119	0	0	0	0	0
ENSMUSG00000022871	ENSDNOG00000010530	0	ENSGALG00000008608	ENSXETG00000031284	0	0	0	0	0	0	0
ENSMUSG00000022875	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022876	ENSDNOG00000038370	ENSMODG00000020950	ENSGALG00000040926	ENSXETG00000023126	0	ENSORLG00000014201	0	0	0	0	0
ENSMUSG00000022877	ENSDNOG00000035857	ENSMODG00000015877	ENSGALG00000008646	0	0	0	0	0	0	0	0
ENSMUSG00000022878	ENSDNOG00000046746	ENSMODG00000013406	ENSGALG00000005554	ENSXETG00000003033	0	0	0	0	0	0	0
ENSMUSG00000022881	ENSDNOG00000011521	ENSMODG00000021285	ENSGALG00000008703	ENSXETG00000019391	ENSDARG00000042458	ENSORLG00000000053	ENSPMAG00000000599	ENSEBUG00000009956	ENSCING00000005608	FBgn0030871	WBGene00004340
ENSMUSG00000022883	0	ENSMODG00000016857	ENSGALG00000015511	ENSXETG00000020971	0	0	ENSPMAG00000009574	ENSEBUG00000003563	0	0	0
ENSMUSG00000022884	0	ENSMODG00000021284	ENSGALG00000008684	ENSXETG00000019390	ENSDARG00000016477	ENSORLG00000008838	0	ENSEBUG00000009705	0	0	0
ENSMUSG00000022885	ENSDNOG00000005526	ENSMODG00000013313	ENSGALG00000005550	ENSXETG00000003032	ENSDARG00000044514	ENSORLG00000026366	0	ENSEBUG00000011685	0	0	0
ENSMUSG00000022886	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022887	ENSDNOG00000037745	ENSMODG00000008535	ENSGALG00000007419	ENSXETG00000019757	ENSDARG00000068726	0	0	ENSEBUG00000013386	0	0	0
ENSMUSG00000022889	0	ENSMODG00000021013	ENSGALG00000015742	ENSXETG00000005956	ENSDARG00000041570	ENSORLG00000005447	0	ENSEBUG00000001444	ENSCING00000004888	FBgn0036462	WBGene00044344
ENSMUSG00000022890	ENSDNOG00000016057	ENSMODG00000021011	ENSGALG00000015751	ENSXETG00000013610	0	0	0	0	ENSCING00000014197	0	0
ENSMUSG00000022892	ENSDNOG00000025112	ENSMODG00000021001	ENSGALG00000015770	ENSXETG00000013612	0	0	0	ENSEBUG00000011784	0	0	0
ENSMUSG00000022893	ENSDNOG00000019522	ENSMODG00000021000	ENSGALG00000040342	ENSXETG00000013631	ENSDARG00000103519	ENSORLG00000004990	0	0	0	0	0
ENSMUSG00000022894	ENSDNOG00000001708	ENSMODG00000020998	ENSGALG00000015795	ENSXETG00000013638	ENSDARG00000100307	ENSORLG00000004966	0	0	0	0	0
ENSMUSG00000022895	ENSDNOG00000011451	ENSMODG00000020979	ENSGALG00000016059	ENSXETG00000023724	0	0	0	ENSEBUG00000015567	0	0	0
ENSMUSG00000022897	0	ENSMODG00000020982	ENSGALG00000016053	ENSXETG00000013037	0	ENSORLG00000005417	ENSPMAG00000007793	ENSEBUG00000001742	0	0	0
ENSMUSG00000022898	ENSDNOG00000044980	ENSMODG00000020983	ENSGALG00000016052	ENSXETG00000013035	ENSDARG00000075650	ENSORLG00000014211	ENSPMAG00000007742	ENSEBUG00000008422	ENSCING00000001720	FBgn0037017	0
ENSMUSG00000022899	ENSDNOG00000015140	ENSMODG00000018269	ENSGALG00000011671	ENSXETG00000012024	ENSDARG00000032010	ENSORLG00000009993	0	ENSEBUG00000002546	0	0	0
ENSMUSG00000022900	ENSDNOG00000003909	ENSMODG00000018288	ENSGALG00000015136	ENSXETG00000010829	0	0	0	0	0	0	0
ENSMUSG00000022901	ENSDNOG00000001920	ENSMODG00000025108	ENSGALG00000014362	0	0	0	0	0	0	0	0
ENSMUSG00000022902	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022905	ENSDNOG00000005561	ENSMODG00000018306	ENSGALG00000014426	ENSXETG00000020837	ENSDARG00000016360	ENSORLG00000009322	0	ENSEBUG00000015936	0	0	0
ENSMUSG00000022906	0	ENSMODG00000018313	ENSGALG00000045511	ENSXETG00000007985	ENSDARG00000006848	ENSORLG00000018071	0	0	0	0	0
ENSMUSG00000022911	ENSDNOG00000038378	ENSMODG00000016988	ENSGALG00000015412	ENSXETG00000032383	ENSDARG00000012763	ENSORLG00000006350	ENSPMAG00000002382	ENSEBUG00000006528	0	0	0
